property_id,property_name,portfolio_name
69bc64f5978f4108763cc446,Hyatt Regency Sonoma Wine Country  881709,Brookfield Properties
69bc64f6978f4108763cc474,Villas at Hawks Cay Resort,Brookfield Properties
69bc3dcc978f4108763cc27d,Matrix Hotel Edmonton 40614,Crescent Hotels & Resorts
69bc3dce978f4108763cc2a7,the Hotel Cleveland Autograph Collection,Crescent Hotels & Resorts
69c3fc4a978f4108763cce72,Hampton Inn Las Vegas,Driftwood Hotels
69c41655978f4108763ccef1,Hilton Garden Inn Birmingham SE/Liberty Park,Genuine Hospitality
69c41655978f4108763ccefe,La Quinta Inn & Suites By Wyndham Jamaica Nyc/Jfk Airtrain,Genuine Hospitality
69c41df4978f4108763ccfd6,Courtyard Orlando Lake Buena Vista in the Marriott Village,HEI Hotels
69c41df5978f4108763ccfe3,Embassy Suites by Hilton The Woodlands at Hughes Landing,HEI Hotels
69c41df5978f4108763ccfe8,Fairfield Inn & Suites Lake Buena Vista in Marriott Village,HEI Hotels
69c41df7978f4108763cd002,Houston Grand Hotel - River Oaks,HEI Hotels
69c41df9978f4108763cd02f,Sheraton Orlando Lake Buena Vista Resort,HEI Hotels
69c41dfa978f4108763cd038,SpringHill Suites Orlando Lake Buena Vista Marriott Village,HEI Hotels
69c41dfa978f4108763cd039,Tapatio Springs Hill Country Resort,HEI Hotels
69c41dfb978f4108763cd046,The Mayfair Hotel & Garden,HEI Hotels
69c41dfb978f4108763cd04c,The Westin at The Woodlands,HEI Hotels
69c41dfd978f4108763cd069,The Whaler Resort Kaanapali Beach,HEI Hotels
69c41dfd978f4108763cd06c,The Woodlands Resort,HEI Hotels
69c41dfd978f4108763cd06d,Waymore's Guest House,HEI Hotels
69c41dfe978f4108763cd070,Westin Fort Lauderdale Beach Resort,HEI Hotels
69c1f406978f4108763cca27,Homewood Suites - Washington DC Downtown,HHM Hotels
69cd71f8f6cd7be54454a319,ANDAZ MEXICO CITY CONDESA,Hyatt Managed-Nadia Jagdeo
69cd71f8f6cd7be54454a311,JD Park South,Hyatt Managed-Nadia Jagdeo
6a5a7e12901b730ae363a858,Thompson Nashville,Hyatt Managed-Nadia Jagdeo
69cd4c14f6cd7be54454a1df,Embassy Suites by Hilton Pittsburgh Downtown 12609094,Indus Hotels
69e7b9fd77a1b2ee1c58b0e7,Embassy Suites-Portland Washington Square,InnVentures
69e7b9fd77a1b2ee1c58b0e9,Hampton Inn & Suites-Portland Hillsboro,InnVentures
69c347f6978f4108763cce35,Towneplace Suites By Marriott Memphis Germantown,Mcneill Hotels
6a5f8244a7a05228064d446d,Hampton Inn Portland Hillsboro/Evergreen Park,Midas Hospitality
6a5f8245a7a05228064d446f,Holiday Inn Durango Downtown,Midas Hospitality
6a5f8243a7a05228064d4465,SpringHill Suites by Marriott Winter Park,Midas Hospitality
69c3384a978f4108763ccc7f,Residence Inn Providence North,NCG Hospitality
69c33d5f978f4108763cccff,Embassy Suites Tysons Corner,PM HOTEL GROUP
69cfdb7acb7120789f4bfb5c,"Oceans Edge Key West Resort, Hotel & Marina 16202992",Sunstone Hotels
6a0f505652c02332632b6e25,Embassy Suites by Hilton Tuscaloosa Alabama Downtown 8804402,Valor Hospitality Partners
