,Missing Property,,,Already Owns,,,
expediaId,propertyId,propertyName,portfolioName,propertyId,propertyName,portfolioName,expediaId
8804402,6a0f505652c02332632b6e25,"Embassy Suites by Hilton Tuscaloosa Alabama Downtown 8804402",Valor Hospitality Partners,69c02b45978f4108763cc5ff,Embassy Suites Tuscaloosa Alabama Downtown,Crestline Hotels & Resorts,8804402
8024559,69e7b9fd77a1b2ee1c58b0e9,Hampton Inn & Suites-Portland Hillsboro,InnVentures,69cc0e96f6cd7be544549ec0,Hampton Inn & Suites Portland/Hillsboro-Evergreen Park,InnVentures,8024559
23773,69e7b9fd77a1b2ee1c58b0e7,Embassy Suites-Portland Washington Square,InnVentures,69cc0e95f6cd7be544549eb6,Embassy Suites by Hilton Portland Tigard,InnVentures,23773
16202992,69cfdb7acb7120789f4bfb5c,"Oceans Edge Key West Resort, Hotel & Marina 16202992",Sunstone Hotels,69c0a854978f4108763cc7a4,Oceans Edge Resort & Marina 16202992,EOS Hospitality,16202992
70397679,69cd71f8f6cd7be54454a319,ANDAZ MEXICO CITY CONDESA,Hyatt Managed-Nadia Jagdeo,69cd71f7f6cd7be54454a307,AZ Condesa,Hyatt Managed-Nadia Jagdeo,70397679
792443,69cd71f8f6cd7be54454a311,JD Park South,Hyatt Managed-Nadia Jagdeo,69cd71f7f6cd7be54454a2fd,Park South Hotel,Hyatt Managed-Nadia Jagdeo,792443
12609094,69cd4c14f6cd7be54454a1df,Embassy Suites by Hilton Pittsburgh Downtown 12609094,Indus Hotels,69c13af3978f4108763cc826,Embassy Suites By Hilton Pittsburgh Downtown,Concord Hospitality,12609094
25794,69c41dfd978f4108763cd06c,The Woodlands Resort,HEI Hotels,69c027fd978f4108763cc5ab,"The Woodlands Resort, Curio Collection by Hilton 25794",CoralTree Hospitality,25794
13173066,69c41dfb978f4108763cd04c,The Westin at The Woodlands,HEI Hotels,69c027fd978f4108763cc5a9,The Westin at the Woodlands  13173066,CoralTree Hospitality,13173066
11919136,69c41df5978f4108763ccfe3,Embassy Suites by Hilton The Woodlands at Hughes Landing,HEI Hotels,69c027fb978f4108763cc559,Embassy Suites by Hilton The Woodlands at Hughes Landing 11919136,CoralTree Hospitality,11919136
42574390,69c3fc4a978f4108763cce72,Hampton Inn Las Vegas,Driftwood Hotels,695e99aab14dd53f566ce2fe,Hampton Inn & Suites Las Vegas Convention Center - No Resort Fee,Donohoe,42574390
39458668,69c3384a978f4108763ccc7f,Residence Inn Providence North,NCG Hospitality,69cd52caf6cd7be54454a2be,Residence Inn Providence Downtown 39458668,TPG Hotels,39458668
538542,69c1f406978f4108763cca27,Homewood Suites - Washington DC Downtown,HHM Hotels,69c02b49978f4108763cc649,Homewood Suites Washington DC Downtown,Crestline Hotels & Resorts,538542
99920083,69bc64f6978f4108763cc474,Villas at Hawks Cay Resort,Brookfield Properties,69c0a855978f4108763cc7b6,VIllas At Hawks Cay Resort,EOS Hospitality,99920083
881709,69bc64f5978f4108763cc446,Hyatt Regency Sonoma Wine Country  881709,Brookfield Properties,69c41df7978f4108763cd00d,Hyatt Regency Sonoma Wine Country,HEI Hotels,881709
12309,69bc3dce978f4108763cc2a7,the Hotel Cleveland Autograph Collection,Crescent Hotels & Resorts,69bc3dca978f4108763cc25b,Hotel Cleveland Autograph Collection,Crescent Hotels & Resorts,12309
